Time,Day,Year,Site,Habitat,Abundance,Temperature,Humidity,Wind,Global radiation,Visitor Groups
08:00,D1,2018,S1,Meadow,0,10.551,0.99816,0.3,6.833,Bumblebee
09:00,D1,2018,S1,Meadow,0,11.022,0.9981,0.1,52.75,Bumblebee
10:00,D1,2018,S1,Meadow,0,11.877,0.99815,0.1,105.272,Bumblebee
11:00,D1,2018,S1,Meadow,11,13.314,0.97434,1.8,284.525,Bumblebee
12:00,D1,2018,S1,Meadow,12,15.412,0.84417,1.9,322.149,Bumblebee
13:00,D1,2018,S1,Meadow,11,16.334,0.86735,1.4,422.519,Bumblebee
14:00,D1,2018,S1,Meadow,0,16.79,0.85134,1.9,463.823,Bumblebee
15:00,D1,2018,S1,Meadow,8,16.4,0.85574,1.5,335.766,Bumblebee
16:00,D1,2018,S1,Meadow,34,17.442,0.75358,2.3,356.17,Bumblebee
17:00,D1,2018,S1,Meadow,13,16.603,0.7691,1,146.257,Bumblebee
18:00,D1,2018,S1,Meadow,5,15.525,0.87705,0.9,119.976,Bumblebee
19:00,D1,2018,S1,Meadow,4,14.722,0.90045,0.8,54.418,Bumblebee
20:00,D1,2018,S1,Meadow,0,14.366,0.9008,0.3,35.222,Bumblebee
08:00,D2,2018,S1,Meadow,0,10.181,0.99817,0,11.405,Bumblebee
09:00,D2,2018,S1,Meadow,0,11.135,0.99775,0,39.605,Bumblebee
10:00,D2,2018,S1,Meadow,4,11.57,0.98762,0.6,72.19,Bumblebee
11:00,D2,2018,S1,Meadow,6,12.845,0.92886,1.1,212.211,Bumblebee
12:00,D2,2018,S1,Meadow,10,14.149,0.85812,1.2,223.7,Bumblebee
13:00,D2,2018,S1,Meadow,2,14.224,0.91055,0.8,271.554,Bumblebee
14:00,D2,2018,S1,Meadow,25,16.399,0.83588,2.1,438.619,Bumblebee
15:00,D2,2018,S1,Meadow,14,14.719,0.87125,1,123.872,Bumblebee
16:00,D2,2018,S1,Meadow,27,15.425,0.80377,1.7,335.588,Bumblebee
17:00,D2,2018,S1,Meadow,30,15.361,0.80846,1.9,212.271,Bumblebee
18:00,D2,2018,S1,Meadow,16,14.175,0.8625,1.3,90.606,Bumblebee
19:00,D2,2018,S1,Meadow,0,13.847,0.89067,1.1,51.289,Bumblebee
20:00,D2,2018,S1,Meadow,0,11.639,0.98993,0.4,8.851,Bumblebee
08:00,D3,2018,S1,Meadow,0,10.821,0.99811,2,12.136,Bumblebee
09:00,D3,2018,S1,Meadow,0,11.42,0.9979,1.5,46.144,Bumblebee
10:00,D3,2018,S1,Meadow,5,12.427,0.98518,1.3,110.541,Bumblebee
