Survey,Site,Transect,Cfreq,Number,Recorder,Species,Abundance,latin_name,Order,Family,Family_Eng,Genus,FamilyNum,SpeNum,Transect_No_bird
1,YJ,YJ1,high,X202107260630,CHW,暗绿绣眼鸟,4,Zosterops simplex,PASSERIFORMES,绣眼鸟科,Zosteropidae,Zosterops,91,1132,YJ1X202107260630Zosterops simplex
1,YJ,YJ1,high,X202107260630,CHW,白鹭,1,Egretta garzetta,PELECANIFORMES,鹭科,Ardeidae,Egretta,13,193,YJ1X202107260630Egretta garzetta
1,YJ,YJ1,high,X202107260630,CHW,白头鹎,4,Pycnonotus sinensis,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,812,YJ1X202107260630Pycnonotus sinensis
1,YJ,YJ1,high,X202107260630,CHW,褐翅鸦鹃,2,Centropus sinensis,CUCULIFORMES,杜鹃科,Cuculidae,Centropus,39,478,YJ1X202107260630Centropus sinensis
1,YJ,YJ1,high,X202107260630,CHW,红耳鹎,27,Pycnonotus jocosus,PASSERIFORMES,鹎科,Pycnonotidae,Pycnonotus,76,814,YJ1X202107260630Pycnonotus jocosus
1,YJ,YJ1,high,X202107260630,CHW,黄腹山鹪莺,2,Prinia flaviventris,PASSERIFORMES,扇尾莺科,Cisticolidae,Prinia,84,958,YJ1X202107260630Prinia flaviventris
1,YJ,YJ1,high,X202107260630,CHW,噪鹃,1,Eudynamys scolopaceus,CUCULIFORMES,杜鹃科,Cuculidae,Eudynamys,39,483,YJ1X202107260630Eudynamys scolopaceus
1,YJ,YJ1,high,X202107260630,CHW,长尾缝叶莺,4,Orthotomus sutorius,PASSERIFORMES,扇尾莺科,Cisticolidae,Orthotomus,84,960,YJ1X202107260630Orthotomus sutorius
1,YJ,YJ1,high,X202107260630,CHW,珠颈斑鸠,1,Spilopelia chinensis,COLUMBIFORMES,鸠鸽科,Columbidae,Spilopelia,38,459,YJ1X202107260630Spilopelia chinensis
1,YJ,YJ1,high,X202107260630,CHW,棕颈钩嘴鹛,2,Pomatorhinus ruficollis,PASSERIFORMES,鹛科,Timaliidae,Pomatorhinus,85,975,YJ1X202107260630Pomatorhinus ruficollis
1,YJ,YJ2,high,X202107260635,ZJ,暗绿绣眼鸟,4,Zosterops simplex,PASSERIFORMES,绣眼鸟科,Zosteropidae,Zosterops,91,1132,YJ2X202107260635Zosterops simplex
